Title, ID, Acousticness, Danceability, Energy, Instrumentalness, Liveness, Loudness, Speechiness, Valence, Tempo, Popularity
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,0.184,0.765,0.523,3.56e-05,0.132,0.6061863760894095,0.03,0.394,0.4772181818181818,0.87
Record Year,5fSPbm5lcwtqwXkeQQswW8,0.205,0.589,0.641,0,0.0864,0.3913867081495502,0.0838,0.57,0.7274136363636364,0.7
Sorry Not Sorry,7gvd8xj4QgPqbQSsn5pV7d,0.0237,0.705,0.64,0,0.262,0.44916995474962945,0.225,0.887,0.6548954545454545,0.82
Pretty Hurts,7lUA4P03AhwAw40JHkdyGr,0.00308,0.512,0.625,0.000164,0.346,0.4577610657256137,0.0508,0.201,0.5906136363636364,0.67
Eternal Flame,5MoDQWMDMaAGDEiWsJfeCi,0.525,0.526,0.358,0,0.0942,0.4333185789550411,0.0243,0.4,0.35903636363636365,0.72
Maps,4gbVRS8gloEluzf0GzDOFc,0.0205,0.742,0.713,0,0.059,0.5283869228740429,0.0303,0.879,0.5456,0.78
Bad Romance,0SiywuOBRcynK0uKGWdCnn,0.00314,0.696,0.921,5.24e-05,0.0842,0.6480453435262437,0.0363,0.714,0.5409136363636364,0.79
Lovefool,0u4htORODiTK9vHVA89MQX,0.0646,0.64,0.602,0,0.375,0.40136869435797673,0.0299,0.951,0.5085000000000001,0.7
Don't Speak,6urCAbunOQI4bLhmGpX7iS,0.224,0.515,0.705,1.33e-05,0.17,0.44262801372954014,0.0333,0.532,0.3458090909090909,0.69
Super Bass,0iYebKFUSfF72fUu2OW6ZT,0.269,0.72,0.861,5.11e-06,0.601,0.605766345300325,0.209,0.669,0.5772318181818182,0.72
Linger,0gEyKnHvgkrkBM6fbeHdwK,0.0783,0.439,0.434,4.87e-05,0.14,0.17845925985259067,0.0265,0.204,0.43111363636363637,0.77
With You I Am,34SQ0QfLSR316d8KL2zkuZ,0.403,0.559,0.665,0,0.14,0.4867209120360253,0.027,0.397,0.34101363636363635,0.68
Superstar,7dltD9eEX7X1zk8JJ9BS0e,0.207,0.572,0.822,0,0.359,0.49913431629869626,0.361,0.472,0.4309636363636363,0.67
Crush Culture,2sHwSBNDZN2yjCtgwStYt1,0.146,0.522,0.765,0,0.0866,0.5361963609981754,0.193,0.455,0.8184772727272727,0.75
The Bad Touch,5EYdTPdJD74r9EVZBztqGG,0.00474,0.841,0.741,0.0121,0.0911,0.4873398154457744,0.0392,0.97,0.5590181818181817,0.71
Another Night,4kCvpSVa2XQUiarE7EE5Fs,0.608,0.61,0.576,0,0.0716,0.3838195226619671,0.0641,0.568,0.3680590909090909,0.61
Don't Stop Me Now - Remastered,7hQJA50XrCWABAu5v6QZ4i,0.0488,0.559,0.855,0.000681,0.68,0.5562607948134387,0.186,0.605,0.7105045454545454,0.78
Pony,6mz1fBdKATx6qP4oP1I65G,0.00186,0.749,0.605,0.0381,0.115,0.33919026439450894,0.086,0.966,0.6455636363636363,0.75
Bye Bye Bye,62bOmKYxYg7dhrC6gH9vFn,0.031,0.61,0.926,0.0012,0.0821,0.5715031412614133,0.0479,0.861,0.7847181818181819,0.74
Bodak Yellow,6KBYefIoo7KydImq1uUQlL,0.0659,0.926,0.703,0,0.231,0.48090816743312276,0.103,0.485,0.5682818181818182,0.78
Hold On,5vjLSffimiIP26QG5WcN2K,0.497,0.608,0.445,0,0.0802,0.3317496081532148,0.055,0.189,0.5449363636363637,0.8
Family Affair,3aw9iWUQ3VrPQltgwvN9Xu,0.138,0.925,0.56,1.19e-05,0.0861,0.6450576465369295,0.0436,0.966,0.42224999999999996,0.72
Milkshake - Radio Mix,2s0ouHqJebHfiQ6C1GUFJd,0.00862,0.891,0.77,0.0315,0.155,0.49288853674779187,0.0439,0.819,0.5136227272727273,0.59
Lady Marmalade - From "Moulin Rouge" Soundtrack,7GQqj9jRtDkMp8zByehXQI,0.0174,0.751,0.766,8.07e-06,0.658,0.6602114205075,0.0515,0.673,0.4995318181818182,0.66
La Bamba - Single Version,2aEeghgUcnu75tzcolFMfs,0.787,0.516,0.809,0.000331,0.303,0.4763740287290846,0.0545,0.939,0.34135909090909095,0.66
I Know That He's Mine - Acoustic version,4HZkVI8U4qMegIKENg4SZ4,0.693,0.649,0.174,0,0.117,0.20959361410780322,0.0557,0.247,0.6345545454545455,0.35
Get Lucky,69kOkLUCkxIZYexIgSG8rq,0.0378,0.81,0.793,1.82e-06,0.072,0.3374315240368204,0.0403,0.863,0.5274954545454545,0.73
Indian Outlaw,1fYypIR0kaFzaSRbzvtjl9,0.0364,0.664,0.739,4.99e-05,0.282,0.43381945747025574,0.0415,0.759,0.5004590909090909,0.61
Free Bird,5EWPGh7jbTNO2wakv8LjUI,0.0765,0.252,0.844,0.00018,0.084,0.3913414959956131,0.0572,0.351,0.5370818181818182,0.73
Oh Where Have You Been Billy Boy - Instrumental,4CJHdfbFBdZuBhl215G9yW,0.976,0.635,0.221,0.949,0.128,0.07820113371835938,0.0652,0.883,0.49962727272727275,0.09
DJ Turn It Up,1ivuWgxFQb2xzxVNSlB1hF,0.000956,0.829,0.695,0.178,0.112,0.5260116533410932,0.0473,0.369,0.4637181818181818,0.71
Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,0.035,0.964,0.346,0,0.108,0.34115517360693604,0.53,0.562,0.5452636363636364,0.83
Nghamet El Herman,7fAXfwMh9TVM21exmkxuGR,0.383,0.683,0.908,0.135,0.0778,0.49884608826351173,0.0582,0.942,0.6703727272727272,0.4
Work Sucks Don't Tweak,63tViBZly4d5N3S2vV5bcL,0.531,0.694,0.602,2.84e-05,0.109,0.34226049047148865,0.271,0.468,0.5908409090909091,0.3
Hot,6z7fZRrQfOH3ZjWEkC4QhC,0.0173,0.6,0.938,0,0.355,0.6442384473574795,0.0821,0.469,0.6588772727272727,0.62
Macarena,4oaj36KzXRgDg4McgcTsZK,0.422,0.927,0.721,4.36e-05,0.0422,0.23431155384423022,0.0908,0.965,0.4682636363636364,0.62
Beat It - Single Version,1OOtq8tRnDM8kG2gqUPjAj,0.0491,0.779,0.867,7.98e-06,0.197,0.6518747351832842,0.0457,0.915,0.6311727272727273,0.79
Say My Name,7H6ev70Weq6DdpZyyTmUXk,0.273,0.713,0.678,0,0.149,0.6654951236118716,0.102,0.734,0.6273136363636364,0.78
Believer,0pqnGHJpmpxLKifKRmU6WP,0.0622,0.776,0.78,0,0.081,0.6033219598603814,0.128,0.666,0.56795,0.9
Hot N Cold,1y4eb6hmAvsqlDOl3fx9kk,7.95e-05,0.706,0.841,0,0.0688,0.6331708164377412,0.0418,0.861,0.6001454545454546,0.66
Slide Away,44ADyYoY5liaRa3EOAl4uf,0.17,0.53,0.538,2.83e-06,0.248,0.46265221401892614,0.0335,0.288,0.6729590909090909,0.89
Let's Get It On,0jHkgTtTaqg5LNCiYDQPUB,0.0379,0.543,0.62,1.19e-06,0.0559,0.2929040405208367,0.0648,0.607,0.7597318181818181,0.65
I Want It That Way,6e40mgJiCid5HRAGrbpGA6,0.216,0.689,0.702,0,0.159,0.5211124639649912,0.0261,0.484,0.4501409090909091,0.79
Since U Been Gone,3xrn9i8zhNZsTtcoWgQEAd,0.00165,0.662,0.741,0.0303,0.114,0.5355154115957275,0.0334,0.404,0.5954545454545455,0.75
If You Like Pi�a Coladas,27FMiZtIDfIagw12NHmHl1,0.00291,0.537,0.737,0.813,0.0524,0.3695906078184605,0.0364,0.703,0.5633772727272727,0.3
Grandpa (Tell Me 'Bout The Good Old Days),1KNNTdw7SzJ90p6RXq4kGE,0.426,0.565,0.456,8.08e-06,0.0612,0.39120589086825563,0.031,0.588,0.9165636363636364,0.57
It's Raining Men,4caiYv89C9GZdDD1RzshWd,0.461,0.66,0.927,5.73e-05,0.699,0.5077417036684311,0.156,0.458,0.6193045454545455,0.6
Son of a Preacher Man,7odHgoLFi3GQ90E9PeraI3,0.394,0.401,0.498,0,0.13,0.291116126738604,0.0757,0.816,0.8259136363636363,0.64
Don't Stop Believin',4bHsxqR3GMrXTxEPLuK5ue,0.127,0.5,0.748,0,0.447,0.3506248126606003,0.0363,0.514,0.5402363636363636,0.82
Bohemian Rhapsody - Remastered 2011,7tFiyTwD0nx5a1eklYtX2J,0.254,0.397,0.396,0,0.268,0.31827226183134916,0.05,0.227,0.6496045454545455,0.79
I Wanna Be Sedated,5NoQvINZLBV1wMYPdNmReL,0.121,0.56,0.965,6.23e-06,0.169,0.7630414493834577,0.0409,0.964,0.7401136363636364,0.66
Losing My Religion,31AOj9sFz2gM0O3hMARRBx,0.163,0.671,0.849,0,0.0937,0.5592893123182647,0.0284,0.829,0.5709681818181818,0.82
Never Gonna Give You Up,7GhIk7Il098yCjg4BQjzvb,0.135,0.727,0.939,4.35e-05,0.151,0.2542230356233639,0.0369,0.916,0.5151363636363636,0.69
Mack the Knife,3E5ndyOfO6vFDEIE42HA8o,0.76,0.549,0.529,0,0.206,0.24173528881705697,0.108,0.464,0.3761590909090909,0.62
If I Was Your Girlfriend,6yK7QgE4H7dIzHa9EV4FKL,0.46,0.87,0.366,0.0139,0.071,0.1113880729041799,0.0977,0.819,0.4397272727272727,0.5
When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,0.932,0.612,0.28,0,0.088,0.3682268331609761,0.0434,0.387,0.33088636363636365,0.84
That's The Way (I Like It) - 2004 Remastered Version,1qiQduM84A0VeH8Y2uAbqi,0.191,0.68,0.877,0.000656,0.349,0.30633171976008683,0.0353,0.922,0.4939727272727273,0.62
Don't Worry Be Happy,4hObp5bmIJ3PP3cKA9K9GY,0.88,0.675,0.166,7.14e-05,0.0461,0.07345477052623568,0.171,0.747,0.3128954545454546,0.68
Eye of the Tiger,2KH16WveTQWT6KOG9Rg6e2,0.132,0.817,0.599,0.000311,0.0873,0.3435280954940676,0.0328,0.548,0.4948772727272727,0.78
The Boy Is Mine,6sHsXIJoEN5JpdkGMQDJxt,0.539,0.704,0.707,0.00106,0.318,0.46992420970872134,0.0391,0.761,0.4233863636363636,0.69
Cruisin',2gliw3L0oa4w8LqaHploje,0.405,0.499,0.637,0,0.357,0.5126336189442969,0.0279,0.815,0.7687227272727273,0.62
Islands In the Stream,4dqEzdFAYkj1rjYLVDuTlN,0.702,0.595,0.473,0,0.0725,0.32130158436734324,0.0347,0.716,0.9273454545454545,0.66
Up Where We Belong,0Co8hKbjUy273NrGliGdWZ,0.597,0.573,0.429,8.18e-05,0.0839,0.36686809077778954,0.0294,0.361,0.6322590909090909,0.55
Empire State of Mind (Part II) Broken Down,5sra5UY6sD658OabHL3QtI,0.739,0.479,0.368,4.1e-05,0.118,0.4068775729932211,0.0341,0.142,0.4225409090909091,0.75
Ebony And Ivory - Remixed 2015,3fVSMbeq8tY3G85yxcJwRU,0.0784,0.567,0.692,0,0.0338,0.40234360297735955,0.0379,0.708,0.7304409090909091,0.63
California Dreamin' - Single Version,4s6LhHAV5SEsOV0lC2tjvJ,0.352,0.552,0.616,0,0.0501,0.32290163848100933,0.0346,0.667,0.5111,0.78
Rapper's Delight,0FWhGmPVxLI6jOVF0wjALa,0.465,0.9,0.845,0,0.0724,0.42997757756069366,0.257,0.914,0.5053954545454545,0.58
Party All the Time,6N5DRCQUSXT1qQqmqsO92B,0.0098,0.699,0.696,0.000345,0.0427,0.22156982657003624,0.0458,0.673,0.6137590909090909,0.6
Good Riddance (Time of Your Life),6ORqU0bHbVCRjXm9AjyHyZ,0.183,0.475,0.432,0,0.161,0.40406706430120254,0.0302,0.648,0.4300227272727273,0.77
You Oughta Know - 2015 Remaster,3jS7bB0oXVOwGFZn3aE5NV,0.21,0.665,0.834,0,0.452,0.40909278546841327,0.0576,0.411,0.4786,0.68
I'll Stand by You,3Nf8oGn1okobzjDcFCvT6n,0.3,0.438,0.606,4.49e-06,0.0754,0.46927320777106457,0.0305,0.266,0.6082818181818181,0.71
Genie In a Bottle,11mwFrKvLXCbcVGNxffGyP,0.21,0.627,0.8,0.000123,0.137,0.44828868788514825,0.162,0.912,0.7991590909090909,0.74
Gettin' Jiggy Wit It,0weAUscowxeqDtpCgtbpgp,0.0175,0.881,0.874,1.19e-06,0.154,0.5942602001935255,0.139,0.858,0.4904136363636364,0.72
Who Am I (What's My Name)?,5XhkV07Vou38wnrzwURUOC,0.000136,0.692,0.833,1.98e-05,0.515,0.6318555427303995,0.0492,0.692,0.4400636363636363,0.72
I Think We're Alone Now,4uvjOKsp7mSjrDhWdkLPBY,0.0295,0.755,0.727,0.00702,0.0226,0.24881867345505732,0.0488,0.932,0.5932318181818181,0.7
Don't You Want Me,3L7RtEcu1Hw3OXrpnthngx,0.184,0.731,0.738,0,0.214,0.3911606996019435,0.0377,0.958,0.5348,0.76
I Just Can't Wait to Be King - From "The Lion King"/Soundtrack Version,0qxtQ8rf3W1nId3D2r0xH4,0.294,0.625,0.52,5.99e-05,0.0951,0.1936021214655633,0.0586,0.902,0.44917727272727276,0.7
You Shook Me All Night Long,2SiXAy7TuUkycRVbbWDEpo,0.00287,0.532,0.767,0.000513,0.39,0.529181060512877,0.0574,0.755,0.5789136363636364,0.8
Part-Time Lover,0Dm43YLUlGdePpSbI1ct8h,0.165,0.662,0.624,0,0.0674,0.20766548139448726,0.0417,0.961,0.7932409090909092,0.66
Stayin' Alive - From "Saturday Night Fever" Soundtrack,3mRM4NM8iO7UBqrSigCQFH,0.0322,0.703,0.826,0.00629,0.179,0.4363325480214691,0.0341,0.945,0.4707454545454545,0.79
I'm Every Woman,1oFiPGBafH9Woo9AMwgBSl,0.127,0.617,0.879,5.71e-05,0.339,0.417351058008418,0.0455,0.746,0.5202409090909091,0.67
Do Ya Think I'm Sexy (45 Version),3wsPg2KrRYZFi0inIFa41x,0.0107,0.716,0.465,0.000667,0.099,0.17263936078489217,0.0307,0.877,0.5094863636363637,0.49
Play That Funky Music,5uuJruktM9fMdN9Va0DUMl,0.0435,0.814,0.672,0,0.061,0.2480437767686938,0.0619,0.933,0.49724545454545455,0.69
Big Yellow Taxi,6UkMcAA19lTdjs22jtB7o2,0.579,0.611,0.47,0,0.581,0.3480822131578733,0.0356,0.97,0.3887590909090909,0.71
You're so Vain,2DnJjbjNTV9Nd5NOa1KGba,0.157,0.659,0.678,6.69e-06,0.0784,0.3886832026771237,0.0313,0.647,0.4826636363636364,0.77
Time After Time,1Jj6MF0xDOMA3Ut2Z368Bx,0.576,0.724,0.436,1.19e-06,0.0908,0.34068255978012896,0.0282,0.324,0.5929045454545454,0.74
Try a Little Tenderness,36AlMHDBFwSsD3FQOy1R81,0.186,0.587,0.133,2.26e-05,0.258,0.17371970743345386,0.0565,0.068,0.46790000000000004,0.65
Come To My Window,4LmlGaGTEbTGE5VngAbpA3,0.08,0.512,0.636,0.000106,0.088,0.3298007687318938,0.0262,0.499,0.44207727272727276,0.55
Sweetest Thing,7ndGFo9nZ108KPgXtfYWCe,0.0404,0.521,0.651,1.32e-05,0.16,0.3535942370419229,0.0516,0.512,0.6436909090909091,0.67
I Melt with You (7" Mix),24y09nBEJNRP46uA0FRQQ2,0.000388,0.467,0.641,8.47e-05,0.0594,0.24420534231846508,0.0448,0.587,0.7096999999999999,0.58
That's The Way Love Goes,29rQJydAlO0uMyWvRIZxQg,0.302,0.703,0.7,0.471,0.0718,0.45644090722655944,0.0693,0.582,0.4439772727272727,0.67
Nothing Compares 2 U,3nvuPQTw2zuFAVuLsC9IYQ,0.0425,0.511,0.574,2.33e-05,0.105,0.44462675430641485,0.0273,0.161,0.5450772727272727,0.73
Pour Some Sugar On Me - Remastered 2017,0PdM2a6oIjqepoEfcJo0RO,0.00211,0.267,0.953,0,0.283,0.5678178076319652,0.096,0.568,0.38631363636363636,0.77
BORN IN THE USA,0yJqMTbkajyRhmwSjCd8Kq,0.0242,0.553,0.73,1.55e-05,0.189,0.4470474891866837,0.0296,0.455,0.5530181818181819,0.39
Under the Bridge,3d9DChrdc6BOeFsbrZ3Is0,0.0576,0.559,0.345,0.000105,0.141,0.21032127042518325,0.0459,0.458,0.3844590909090909,0.83
We're Not Gonna Take It,1hlveB9M6ijHZRbzZ2teyh,0.0127,0.502,0.924,0,0.162,0.48302396235562295,0.0503,0.922,0.6781181818181818,0.75
Livin' On A Prayer,37ZJ0p5Jm13JPevGcx4SkF,0.0778,0.532,0.887,0.000214,0.294,0.6478956305548502,0.0335,0.795,0.5568681818181818,0.85
Sweet Home Alabama,7e89621JPkKaeDSTQ3avtg,0.181,0.596,0.605,0.000331,0.0863,0.24584711549347915,0.0255,0.886,0.4445363636363636,0.84
Piece of My Heart,1xKQbqQtQWrtQS47fUJBtl,0.263,0.443,0.727,0.000141,0.169,0.39910308431874936,0.145,0.566,0.731,0.7
...Baby One More Time,3MjUtNVVq3C8Fn0MP3zhXa,0.202,0.759,0.699,0.000131,0.443,0.5149484783374491,0.0307,0.907,0.4225454545454545,0.78
All About That Bass,5jE48hhRu8E6zBDPRSkEq7,0.0573,0.807,0.887,2.87e-06,0.124,0.6502200732742401,0.0503,0.961,0.6093272727272727,0.71
This Is How We Do It,6uQKuonTU8VKBz5SHZuQXD,0.0159,0.799,0.63,0,0.453,0.34233957857241504,0.0748,0.772,0.4711227272727273,0.67
Let's Stay Together,63xdwScd1Ai1GigAwQxE8y,0.57,0.756,0.397,0.0115,0.0542,0.29047783748536066,0.0522,0.507,0.4635681818181818,0.76
End Of The Road,24BNgrtp6Fag4M5BQPEgsV,0.0568,0.373,0.717,0,0.114,0.5097399506292245,0.083,0.293,0.4998954545454546,0.68
Doo Wop (That Thing),0uEp9E98JB5awlA084uaIg,0.0393,0.535,0.505,0,0.0923,0.35658880933302833,0.245,0.495,0.45425,0.75
Un-Break My Heart,5Ihd9HrPvOADyVoonH9ZjB,0.413,0.625,0.426,0,0.116,0.37927950839468716,0.0271,0.112,0.5000818181818182,0.71
Not Gon' Cry,2OA0iq9hGkvUcS5qA1ZJnU,0.664,0.758,0.424,0,0.095,0.35621824921422374,0.0468,0.455,0.5003954545454545,0.52
He's So Fine - Remastered 2000,2Bs1Lw9LX8hBm70t1iGdlh,0.487,0.558,0.633,0,0.129,0.6857874144500933,0.0329,0.871,0.3295181818181818,0.54
Chain of Fools,2oZmMp5M6L0Rh7G84Um2tF,0.209,0.761,0.605,0,0.135,0.3186769697105566,0.0498,0.941,0.5320318181818182,0.64
Man! I Feel Like A Woman!,6sxptembJVty4sNtcPMAVz,0.581,0.657,0.639,0,0.278,0.41913880460515696,0.0412,0.674,0.5676454545454546,0.75
Something to Talk About,7ptJYMKI7Y1iWdqEZtBMGE,0.049,0.612,0.934,0,0.103,0.5532486765461361,0.0663,0.293,0.5909363636363636,0.61
Stand By Your Man,6xatfNMI8NkY5XxRHAeiS4,0.788,0.517,0.246,0.00105,0.133,0.250231155860422,0.0308,0.525,0.4783636363636363,0.56
Friends in Low Places,4OMj5QWwvYSUs9O0hsymts,0.617,0.553,0.655,0,0.0825,0.5095044551713543,0.0355,0.624,0.4897227272727273,0.61
Your Cheatin' Heart,3IK25HIyoNVGUfHgfaXgEU,0.879,0.669,0.219,0.00047,0.233,0.2491926347801421,0.0285,0.671,0.5812636363636363,0.52
Before He Cheats,0ZUo4YjG4saFnEJhdWp9Bt,0.271,0.519,0.749,0,0.119,0.6816013036412538,0.0405,0.29,0.6722954545454546,0.75
All My Ex's Live In Texas,7k1Xm1wy00hCKJDYJL5p1n,0.235,0.762,0.318,6.12e-06,0.138,0.15665542828386544,0.0355,0.677,0.5932545454545454,0.6
Achy Breaky Heart,2EoIt9vdgFRNW03u5IvFsQ,0.0711,0.795,0.582,0,0.12,0.30935458750189443,0.0306,0.965,0.5536272727272727,0.67
I've Got You Babe,73xGJdrGW5KXcGI1pf41lp,0.262,0.511,0.845,0,0.187,0.5708432961578654,0.0489,0.797,0.7857500000000001,0.46
My Heart Will Go On - Love Theme from "Titanic",3oEHQmhvFLiE7ZYES0ulzv,0.732,0.428,0.276,5.33e-06,0.117,0.2579505927251243,0.0312,0.0382,0.4508863636363636,0.77
Margaritaville,4EEjMyQub6tgFVshlM9j1M,0.736,0.804,0.542,0.00105,0.108,0.20651712630998,0.0344,0.874,0.5680681818181817,0.66
That's What She Said,1x6xY7mgpXFRnY8mPgXbx9,0.000646,0.412,0.874,0,0.103,0.5331080972082524,0.206,0.717,0.9040772727272727,0.34
Stacy's Mom,27L8sESb3KR79asDUBu8nW,0.0021,0.774,0.75,1.85e-05,0.0808,0.5659840622355732,0.0413,0.925,0.5364318181818182,0.76
Epilog (Ballad No.2),46Ckjb4zIAsViidNIU1raJ,0.972,0.174,0.00594,0.694,0.0946,0.018632951130166126,0.0475,0.0351,0.5909409090909091,0.0
As Long As You Love Me,0pwYLVXVknPSGUQb39cePC,0.0807,0.571,0.873,0,0.361,0.6765804207377077,0.0997,0.613,0.634959090909091,0.74
Build Me Up Buttercup,6sPOmDulFtLzfX25zICNrC,0.313,0.66,0.512,0,0.283,0.4361309661500597,0.0294,0.852,0.6073045454545455,0.75
Ignition - Remix,5dNfHmqgr128gMY2tc5CeJ,0.061,0.795,0.523,0,0.0914,0.4370388185845829,0.0423,0.855,0.6046545454545454,0.72
Pretty Fly (For A White Guy),3SFXsFpeGmBTtQvKiwYMDA,0.112,0.722,0.901,0,0.0674,0.6551967019291817,0.105,0.963,0.6518227272727273,0.74
One Fine Day,6vcG9EgeqJUSmmF65lxUm6,0.488,0.251,0.868,7.34e-06,0.814,0.7333124812988587,0.128,0.599,0.8051363636363637,0.64
2-Eleven,3fjxOfJbvpXh39lHEVjlMq,0.116,0.807,0.368,0.096,0.0902,0.1905401145782544,0.225,0.0959,0.5456318181818182,0.27
Faith - Remastered,0HEmnAUT8PHznIAAmVXqFJ,0.0094,0.887,0.48,3.58e-05,0.0662,0.2501733468656452,0.117,0.607,0.43566363636363636,0.76
Red Roses (feat. Landon Cube),3ZhTT6yjZwpPph5MIJ53XY,0.547,0.691,0.683,0,0.221,0.42853947211405,0.0954,0.456,0.6363727272727273,0.78
Caroline,5hTpBe8h35rJ67eAWHQsJx,0.17,0.941,0.335,0,0.262,0.30853370355838566,0.505,0.707,0.5456409090909091,0.79
Crazy Bitch,5XfQTbialQHn9PhDb0p85H,0.0247,0.661,0.978,0,0.0856,0.7018980171632474,0.107,0.592,0.4455409090909091,0.67
My Band,4XHQyvbrBsQaaBUW1VvmsL,0.497,0.851,0.849,2.05e-06,0.116,0.6765022636171509,0.0828,0.844,0.5455181818181818,0.7
Back At One,6mwA6YiKDjAUG8kWvRRUPh,0.542,0.649,0.357,0,0.151,0.349896466398799,0.0307,0.241,0.5899909090909091,0.73
Can�t Do It Without You - Duet,1R9mzRZ5oC2Z9SQhyigXlp,0.0214,0.587,0.686,0,0.035,0.6681142183180427,0.171,0.962,0.35292727272727276,0.4
Bring Me To Life,0COqiPhxzoWICwFCS4eZcp,0.00895,0.316,0.945,1.85e-06,0.396,0.6934353711428475,0.124,0.32,0.8633227272727273,0.8
Fat Lip,4KacUpvbA3Mfo05gttTjhN,0.000618,0.574,0.911,0,0.0769,0.5499351219727244,0.0715,0.573,0.44579545454545455,0.75
Always On Time,4hrae8atte6cRlSC9a7VCO,0.205,0.607,0.714,0,0.301,0.499595827588097,0.278,0.827,0.43917727272727275,0.74
Hot In Herre,04KTF78FFg8sOHC1BADqbY,0.218,0.965,0.736,0,0.0595,0.5609069380117495,0.144,0.921,0.48668181818181816,0.74
Int'l Players Anthem (I Choose You) (feat. OutKast),2bQdgtO42TfS37YWupeMrr,0.0598,0.697,0.681,0,0.301,0.555811144279265,0.219,0.82,0.35385,0.62
In Da Club,4RY96Asd9IefaL3X4LOLZ8,0.283,0.865,0.73,0,0.0753,0.7225486662355476,0.373,0.808,0.40952727272727274,0.73
Price Tag - We Just Wanna Make the World Dance,37zD3cq01CgyclL8cqbqsD,0.269,0.627,0.84,0,0.165,0.6812864097215448,0.0705,0.817,0.7949727272727273,0.08
Get Ya Freak On - Trap Mix,7dEAOJzBWUVHIyTpMvqIbt,0.000945,0.823,0.995,0.00221,0.0964,0.7861264700032993,0.211,0.745,0.7726909090909091,0.27
Gold Digger,1PS1QMdUqOal0ai3Gt7sDQ,0.0223,0.638,0.699,0,0.0917,0.5272893147580064,0.384,0.66,0.42245,0.8
Drop It Like It's Hot,2NBQmPrOEEjA8VbeWOQGxO,0.187,0.881,0.622,0,0.103,0.6192097099676919,0.215,0.633,0.4181318181818182,0.69
All About the Benjamins,0gEF7HzO1mYr9Hp4pdKalV,0.0852,0.825,0.725,4.27e-06,0.251,0.6194959117323408,0.204,0.704,0.40850909090909093,0.6
What's Your Fantasy (Featuring Shawna),4LwOrnuxJwR7C5Sw4liY4Z,0.171,0.914,0.813,0,0.124,0.6592206466916248,0.163,0.962,0.6367681818181818,0.65
Hey Look Ma I Made It,22oEJW6r2rMb9z4IntfyEa,0.0137,0.577,0.833,0,0.121,0.6801068526399134,0.0695,0.58,0.49061818181818184,0.82
So Fresh So Clean,6glsMWIMIxQ4BedzLqGVi4,0.0278,0.725,0.64,0,0.099,0.40122961467061247,0.332,0.915,0.7546772727272727,0.68
Let Me Blow Ya Mind,3RmKpob8xzv1pzHEQrMJah,0.243,0.909,0.539,0,0.0674,0.6100502551361117,0.116,0.869,0.40926363636363633,0.73
Get Low,0r2Bul2NuCViraT2zX1l5j,0.0301,0.521,0.625,0,0.121,0.42190789806500895,0.067,0.136,0.45917727272727277,0.73
Stay Fly - Explicit Album Version,5MYFw4T2gy52pOGBN4EYHS,0.108,0.789,0.881,0,0.355,0.5141756994169188,0.0331,0.647,0.6059136363636363,0.61
We Fly High,5rXkgeY6rpcHcsolCpXZHR,0.0847,0.685,0.8,0,0.092,0.46846072343621276,0.298,0.483,0.5464818181818182,0.59
Shake It Fast,10UJwHwGSXnljKk4Nw3qrf,0.00223,0.805,0.879,0,0.659,0.5924094940002428,0.16,0.747,0.7817636363636363,0.47
Mo Money Mo Problems - 2014 Remaster,4INDiWSKvqSKDEu7mh8HFz,0.0128,0.845,0.884,2.1e-06,0.203,0.594191552528466,0.0759,0.904,0.47516363636363634,0.75
Ruff Ryders' Anthem,1BKT2I9x4RGKaKqW4up34s,0.0564,0.88,0.577,1.02e-06,0.201,0.3926094127349372,0.302,0.74,0.41359545454545454,0.68
Gin And Juice (feat. Dat Nigga Daz),0WKYRFtH6KKbaNWjsxqm70,0.0285,0.549,0.853,0.000296,0.618,0.6089940340104166,0.188,0.346,0.43043181818181814,0.75
Knuck If You Buck (feat. Lil' Scrappy),0RZXNlGPvfMo54fd6uCvAT,0.0582,0.865,0.844,0,0.373,0.5647431088453259,0.311,0.755,0.6822272727272728,0.62
I Have Nothing,31er9IGsfFbwqy1pH4aiTP,0.576,0.54,0.401,0,0.164,0.29733612638292517,0.0364,0.24,0.6953363636363636,0.75
Kiss from a Rose,3YKptz29AsOlm7WAVnztBh,0.684,0.583,0.532,0,0.306,0.4398245379612178,0.0309,0.223,0.5988227272727273,0.74
Semi-Charmed Life,42et6fnHCw1HIPSrdPprMl,0.00832,0.64,0.864,0,0.123,0.4678117489157001,0.0315,0.7,0.4637545454545454,0.77
Love On The Brain,5oO3drDxtziYU2H1X23ZIp,0.0777,0.503,0.632,1.3e-05,0.0758,0.5707773535633869,0.0492,0.369,0.7814545454545454,0.82
Angel Of The Morning,6NVB6W7G3svCKe5zB7kY8q,0.433,0.456,0.233,6.42e-05,0.0538,0.23234384518859355,0.0255,0.424,0.3417,0.59
Give Me One Reason,4vDBJeeQCbhP9FaPPMsYkY,0.602,0.608,0.419,7.58e-06,0.108,0.3143985930670309,0.0331,0.602,0.45554545454545453,0.71
Let's Dance - 2018 Remaster,3ix6K4wZY29bCujrSznwFZ,0.0125,0.654,0.743,0.0272,0.153,0.4233726561812636,0.0605,0.632,0.5220272727272728,0.71
